Category: All categories

Country,Anime: (22/09/2023 - 22/09/2024)
São Tomé & Príncipe,100
Kyrgyzstan,60
Gabon,53
Mayotte,51
Mongolia,46
Laos,45
Thailand,40
Congo - Brazzaville,38
Myanmar (Burma),38
Vietnam,33
Micronesia,32
Bhutan,32
French Guiana,30
Bolivia,29
Togo,28
North Korea,28
Philippines,27
Kazakhstan,27
Sudan,27
Iraq,27
French Polynesia,26
Madagascar,26
Cuba,26
Nepal,26
American Samoa,26
Libya,26
Algeria,25
Cambodia,24
Iran,24
Japan,23
Brunei,23
Djibouti,23
South Korea,22
Equatorial Guinea,22
Guyana,22
Réunion,21
Angola,21
Yemen,21
Moldova,21
Comoros,20
Western Sahara,20
Cape Verde,20
Kiribati,20
Ukraine,20
Nicaragua,20
Jamaica,20
Tajikistan,20
Uzbekistan,19
Northern Mariana Islands,19
Malaysia,19
Martinique,19
Palau,18
Oman,18
Syria,18
El Salvador,18
Russia,17
Morocco,17
Marshall Islands,17
Dominica,17
Guadeloupe,17
Belarus,17
New Caledonia,17
Senegal,16
Mauritania,16
Trinidad & Tobago,16
St Vincent & the Grenadines,16
Jordan,16
Côte d’Ivoire,16
Samoa,16
Belize,16
Tonga,15
China,15
Guam,15
Cook Islands,15
Mauritius,15
Tunisia,15
Panama,15
Peru,14
St Barthélemy,14
Bangladesh,14
Maldives,14
Indonesia,14
Macao,14
Honduras,14
Ecuador,14
Paraguay,14
Saudi Arabia,13
Grenada,13
Guatemala,13
Haiti,13
Turkmenistan,13
Afghanistan,13
St Lucia,13
Montserrat,13
Palestine,13
Georgia,13
Antigua & Barbuda,12
Egypt,12
Burkina Faso,12
Dominican Republic,12
Brazil,12
Cameroon,12
Bahrain,12
Benin,12
Venezuela,11
France,11
Suriname,11
Botswana,11
Seychelles,11
Costa Rica,11
Eritrea,11
St Martin,11
Barbados,11
Somalia,11
Timor-Leste,11
Solomon Islands,11
Mali,10
St Pierre & Miquelon,10
Fiji,10
Mexico,10
Bahamas,10
Chile,10
St Kitts & Nevis,10
Sint Maarten,10
Kuwait,10
Puerto Rico,10
Lebanon,10
Taiwan,10
Mozambique,9
US Virgin Islands,9
Hong Kong,9
Turks & Caicos Islands,9
British Virgin Islands,9
Singapore,9
Congo - Kinshasa,9
Armenia,9
Colombia,9
Niger,9
Vanuatu,8
Serbia,8
Latvia,8
India,8
Anguilla,8
Portugal,8
Azerbaijan,8
Qatar,8
Argentina,8
Zambia,8
Albania,8
Montenegro,8
St Helena,7
Romania,7
Pakistan,7
Greenland,7
United Arab Emirates,7
Aruba,7
Uruguay,7
Cayman Islands,7
Canada,7
Zimbabwe,7
Lithuania,7
Sri Lanka,6
Belgium,6
Kosovo,6
Guinea,6
United States,6
New Zealand,6
Israel,6
Curaçao,6
Papua New Guinea,6
Estonia,6
Chad,6
Poland,6
Luxembourg,6
South Africa,6
Nigeria,6
Australia,6
Ethiopia,6
Hungary,5
Falkland Islands (Islas Malvinas),5
Malawi,5
Cyprus,5
Bermuda,5
Faroe Islands,5
Bosnia & Herzegovina,5
Ghana,5
Czechia,5
Türkiye,5
Germany,5
Burundi,5
Bulgaria,5
Namibia,5
Guinea-Bissau,4
Gibraltar,4
North Macedonia,4
Iceland,4
Kenya,4
Malta,4
Switzerland,4
Andorra,4
Central African Republic,4
Caribbean Netherlands,4
Slovakia,4
Lesotho,4
Norway,4
Sweden,4
United Kingdom,4
Spain,4
Austria,4
Åland Islands,4
Italy,4
Finland,4
Eswatini,4
Svalbard & Jan Mayen,3
Croatia,3
Greece,3
Denmark,3
Ireland,3
Rwanda,3
Gambia,3
Netherlands,3
Sierra Leone,3
Isle of Man,3
Slovenia,3
Liechtenstein,3
South Sudan,3
Jersey,3
Guernsey,3
San Marino,3
Uganda,3
Liberia,2
Tanzania,1
Heard & McDonald Islands,
Tuvalu,
US Outlying Islands,
Norfolk Island,
Monaco,
Bouvet Island,
Vatican City,
Cocos (Keeling) Islands,
Tokelau,
British Indian Ocean Territory,
Christmas Island,
Nauru,
French Southern Territories,
Wallis & Futuna,
Antarctica,
Pitcairn Islands,
South Georgia & South Sandwich Islands,
Niue,
